광역,군구, 총인구 , 총인구남 , 총인구여 , 내국인계 , 내국인남 , 내국인여 , 외국인계 , 외국인남 , 외국인여 
인천광역시,미추홀구," 412,022 "," 207,524 "," 204,498 "," 398,997 "," 201,127 "," 197,870 "," 13,025 "," 6,397 "," 6,628 "
인천광역시,강화군," 65,834 "," 32,927 "," 32,907 "," 64,759 "," 32,279 "," 32,480 "," 1,075 ", 648 , 427 
인천광역시,옹진군," 18,984 "," 10,912 "," 8,072 "," 18,703 "," 10,721 "," 7,982 ", 281 , 191 , 90 
광주광역시,광주광역시," 1,475,262 "," 732,088 "," 743,174 "," 1,444,765 "," 716,048 "," 728,717 "," 30,497 "," 16,040 "," 14,457 "
광주광역시,동구," 108,676 "," 53,901 "," 54,775 "," 106,508 "," 52,792 "," 53,716 "," 2,168 "," 1,109 "," 1,059 "
광주광역시,서구," 290,565 "," 143,071 "," 147,494 "," 288,316 "," 142,091 "," 146,225 "," 2,249 ", 980 ," 1,269 "
광주광역시,남구," 216,266 "," 103,912 "," 112,354 "," 214,319 "," 103,150 "," 111,169 "," 1,947 ", 762 ," 1,185 "
광주광역시,북구," 436,997 "," 217,227 "," 219,770 "," 431,073 "," 214,526 "," 216,547 "," 5,924 "," 2,701 "," 3,223 "
광주광역시,광산구," 422,758 "," 213,977 "," 208,781 "," 404,549 "," 203,489 "," 201,060 "," 18,209 "," 10,488 "," 7,721 "
대전광역시,대전광역시," 1,479,740 "," 740,481 "," 739,259 "," 1,456,477 "," 730,007 "," 726,470 "," 23,263 "," 10,474 "," 12,789 "
대전광역시,동구," 233,721 "," 117,546 "," 116,175 "," 228,148 "," 115,008 "," 113,140 "," 5,573 "," 2,538 "," 3,035 "
대전광역시,중구," 227,326 "," 111,459 "," 115,867 "," 225,339 "," 110,766 "," 114,573 "," 1,987 ", 693 ," 1,294 "
대전광역시,서구," 475,671 "," 233,608 "," 242,063 "," 471,170 "," 231,859 "," 239,311 "," 4,501 "," 1,749 "," 2,752 "
대전광역시,유성구," 367,288 "," 188,649 "," 178,639 "," 359,052 "," 184,564 "," 174,488 "," 8,236 "," 4,085 "," 4,151 "
대전광역시,대덕구," 175,734 "," 89,219 "," 86,515 "," 172,768 "," 87,810 "," 84,958 "," 2,966 "," 1,409 "," 1,557 "
울산광역시,울산광역시," 1,120,753 "," 578,207 "," 542,546 "," 1,095,365 "," 563,428 "," 531,937 "," 25,388 "," 14,779 "," 10,609 "
울산광역시,중구," 209,555 "," 105,796 "," 103,759 "," 206,875 "," 104,710 "," 102,165 "," 2,680 "," 1,086 "," 1,594 "
울산광역시,남구," 315,307 "," 160,993 "," 154,314 "," 309,061 "," 157,767 "," 151,294 "," 6,246 "," 3,226 "," 3,020 "
울산광역시,동구," 155,578 "," 81,916 "," 73,662 "," 151,407 "," 79,274 "," 72,133 "," 4,171 "," 2,642 "," 1,529 "
울산광역시,북구," 216,149 "," 112,223 "," 103,926 "," 213,077 "," 110,501 "," 102,576 "," 3,072 "," 1,722 "," 1,350 "
울산광역시,울주군," 224,164 "," 117,279 "," 106,885 "," 214,945 "," 111,176 "," 103,769 "," 9,219 "," 6,103 "," 3,116 "
세종특별자치시,세종특별자치시," 366,227 "," 183,616 "," 182,611 "," 359,236 "," 179,460 "," 179,776 "," 6,991 "," 4,156 "," 2,835 "
세종특별자치시,세종시," 366,227 "," 183,616 "," 182,611 "," 359,236 "," 179,460 "," 179,776 "," 6,991 "," 4,156 "," 2,835 "
경기도,경기도," 13,652,529 "," 6,898,723 "," 6,753,806 "," 13,081,325 "," 6,571,118 "," 6,510,207 "," 571,204 "," 327,605 "," 243,599 "
경기도,수원시," 1,208,337 "," 609,383 "," 598,954 "," 1,154,352 "," 581,519 "," 572,833 "," 53,985 "," 27,864 "," 26,121 "
경기도,수원시장안구," 277,786 "," 140,352 "," 137,434 "," 267,967 "," 135,350 "," 132,617 "," 9,819 "," 5,002 "," 4,817 "
경기도,수원시권선구," 368,924 "," 186,179 "," 182,745 "," 354,006 "," 178,643 "," 175,363 "," 14,918 "," 7,536 "," 7,382 "
경기도,수원시팔달구," 195,418 "," 99,258 "," 96,160 "," 175,662 "," 88,559 "," 87,103 "," 19,756 "," 10,699 "," 9,057 "
경기도,수원시영통구," 366,209 "," 183,594 "," 182,615 "," 356,717 "," 178,967 "," 177,750 "," 9,492 "," 4,627 "," 4,865 "
경기도,성남시," 913,482 "," 451,948 "," 461,534 "," 889,568 "," 440,440 "," 449,128 "," 23,914 "," 11,508 "," 12,406 "
경기도,성남시수정구," 244,058 "," 123,147 "," 120,911 "," 229,653 "," 115,890 "," 113,763 "," 14,405 "," 7,257 "," 7,148 "
경기도,성남시중원구," 209,170 "," 105,374 "," 103,796 "," 205,019 "," 103,528 "," 101,491 "," 4,151 "," 1,846 "," 2,305 "
경기도,성남시분당구," 460,254 "," 223,427 "," 236,827 "," 454,896 "," 221,022 "," 233,874 "," 5,358 "," 2,405 "," 2,953 "
경기도,의정부시," 455,454 "," 223,988 "," 231,466 "," 448,866 "," 221,045 "," 227,821 "," 6,588 "," 2,943 "," 3,645 "
경기도,안양시," 538,929 "," 265,951 "," 272,978 "," 528,599 "," 260,994 "," 267,605 "," 10,330 "," 4,957 "," 5,373 "
경기도,안양시만안구," 240,501 "," 119,862 "," 120,639 "," 232,576 "," 115,922 "," 116,654 "," 7,925 "," 3,940 "," 3,985 "
경기도,안양시동안구," 298,428 "," 146,089 "," 152,339 "," 296,023 "," 145,072 "," 150,951 "," 2,405 "," 1,017 "," 1,388 "
경기도,부천시," 822,635 "," 406,604 "," 416,031 "," 782,913 "," 386,819 "," 396,094 "," 39,722 "," 19,785 "," 19,937 "
경기도,광명시," 290,345 "," 142,943 "," 147,402 "," 283,852 "," 139,817 "," 144,035 "," 6,493 "," 3,126 "," 3,367 "
경기도,평택시," 571,838 "," 299,252 "," 272,586 "," 538,412 "," 280,448 "," 257,964 "," 33,426 "," 18,804 "," 14,622 "
경기도,동두천시," 94,912 "," 47,428 "," 47,484 "," 90,717 "," 45,103 "," 45,614 "," 4,195 "," 2,325 "," 1,870 "
경기도,안산시," 718,384 "," 371,177 "," 347,207 "," 638,456 "," 326,593 "," 311,863 "," 79,928 "," 44,584 "," 35,344 "
경기도,안산시상록구," 364,309 "," 185,647 "," 178,662 "," 343,066 "," 174,858 "," 168,208 "," 21,243 "," 10,789 "," 10,454 "
경기도,안산시단원구," 354,075 "," 185,530 "," 168,545 "," 295,390 "," 151,735 "," 143,655 "," 58,685 "," 33,795 "," 24,890 "
경기도,고양시," 1,049,513 "," 512,695 "," 536,818 "," 1,031,893 "," 504,082 "," 527,811 "," 17,620 "," 8,613 "," 9,007 "
경기도,고양시덕양구," 468,756 "," 231,078 "," 237,678 "," 461,976 "," 227,967 "," 234,009 "," 6,780 "," 3,111 "," 3,669 "
경기도,고양시일산동구," 293,014 "," 142,127 "," 150,887 "," 287,045 "," 138,950 "," 148,095 "," 5,969 "," 3,177 "," 2,792 "
경기도,고양시일산서구," 287,743 "," 139,490 "," 148,253 "," 282,872 "," 137,165 "," 145,707 "," 4,871 "," 2,325 "," 2,546 "
경기도,과천시," 65,880 "," 32,483 "," 33,397 "," 65,497 "," 32,286 "," 33,211 ", 383 , 197 , 186 
경기도,구리시," 187,798 "," 92,886 "," 94,912 "," 185,784 "," 91,939 "," 93,845 "," 2,014 ", 947 ," 1,067 "
경기도,남양주시," 713,549 "," 354,670 "," 358,879 "," 703,281 "," 348,943 "," 354,338 "," 10,268 "," 5,727 "," 4,541 "
경기도,오산시," 242,297 "," 125,462 "," 116,835 "," 226,244 "," 117,164 "," 109,080 "," 16,053 "," 8,298 "," 7,755 "
경기도,시흥시," 554,074 "," 292,143 "," 261,931 "," 500,680 "," 261,074 "," 239,606 "," 53,394 "," 31,069 "," 22,325 "
경기도,군포시," 270,443 "," 133,978 "," 136,465 "," 260,553 "," 129,035 "," 131,518 "," 9,890 "," 4,943 "," 4,947 "
경기도,의왕시," 160,115 "," 79,433 "," 80,682 "," 158,566 "," 78,703 "," 79,863 "," 1,549 ", 730 , 819 
경기도,하남시," 305,470 "," 152,495 "," 152,975 "," 302,001 "," 150,739 "," 151,262 "," 3,469 "," 1,756 "," 1,713 "
경기도,용인시," 1,067,347 "," 530,349 "," 536,998 "," 1,042,523 "," 516,763 "," 525,760 "," 24,824 "," 13,586 "," 11,238 "
경기도,용인시처인구," 268,115 "," 138,408 "," 129,707 "," 255,071 "," 130,246 "," 124,825 "," 13,044 "," 8,162 "," 4,882 "
경기도,용인시기흥구," 435,708 "," 214,973 "," 220,735 "," 428,758 "," 211,601 "," 217,157 "," 6,950 "," 3,372 "," 3,578 "
경기도,용인시수지구," 363,524 "," 176,968 "," 186,556 "," 358,694 "," 174,916 "," 183,778 "," 4,830 "," 2,052 "," 2,778 "
경기도,파주시," 475,212 "," 242,580 "," 232,632 "," 460,533 "," 232,705 "," 227,828 "," 14,679 "," 9,875 "," 4,804 "
경기도,이천시," 229,321 "," 119,255 "," 110,066 "," 219,387 "," 113,519 "," 105,868 "," 9,934 "," 5,736 "," 4,198 "
경기도,안성시," 203,897 "," 106,850 "," 97,047 "," 185,978 "," 95,782 "," 90,196 "," 17,919 "," 11,068 "," 6,851 "
경기도,김포시," 491,572 "," 251,381 "," 240,191 "," 465,485 "," 232,370 "," 233,115 "," 26,087 "," 19,011 "," 7,076 "
경기도,화성시," 906,381 "," 477,463 "," 428,918 "," 853,419 "," 441,545 "," 411,874 "," 52,962 "," 35,918 "," 17,044 "
경기도,광주시," 387,700 "," 199,287 "," 188,413 "," 371,619 "," 188,941 "," 182,678 "," 16,081 "," 10,346 "," 5,735 "
경기도,양주시," 239,800 "," 122,616 "," 117,184 "," 230,172 "," 115,830 "," 114,342 "," 9,628 "," 6,786 "," 2,842 "
경기도,포천시," 157,602 "," 85,864 "," 71,738 "," 141,422 "," 74,004 "," 67,418 "," 16,180 "," 11,860 "," 4,320 "
경기도,여주시," 113,270 "," 57,924 "," 55,346 "," 108,422 "," 55,044 "," 53,378 "," 4,848 "," 2,880 "," 1,968 "
경기도,연천군," 41,642 "," 21,947 "," 19,695 "," 40,483 "," 21,164 "," 19,319 "," 1,159 ", 783 , 376 
경기도,가평군," 59,714 "," 30,575 "," 29,139 "," 58,249 "," 29,949 "," 28,300 "," 1,465 ", 626 , 839 
경기도,양평군," 115,616 "," 57,713 "," 57,903 "," 113,399 "," 56,759 "," 56,640 "," 2,217 ", 954 ," 1,263 "
강원도,강원도," 1,521,890 "," 767,067 "," 754,823 "," 1,497,308 "," 754,354 "," 742,954 "," 24,582 "," 12,713 "," 11,869 "
강원도,춘천시," 287,104 "," 141,556 "," 145,548 "," 281,838 "," 138,878 "," 142,960 "," 5,266 "," 2,678 "," 2,588 "
강원도,원주시," 357,224 "," 177,182 "," 180,042 "," 352,622 "," 174,887 "," 177,735 "," 4,602 "," 2,295 "," 2,307 "
강원도,강릉시," 216,560 "," 108,324 "," 108,236 "," 213,304 "," 106,691 "," 106,613 "," 3,256 "," 1,633 "," 1,623 "
강원도,동해시," 87,264 "," 44,384 "," 42,880 "," 86,258 "," 43,838 "," 42,420 "," 1,006 ", 546 , 460 
강원도,태백시," 40,395 "," 20,405 "," 19,990 "," 40,032 "," 20,307 "," 19,725 ", 363 , 98 , 265 
강원도,속초시," 80,362 "," 40,149 "," 40,213 "," 78,898 "," 39,307 "," 39,591 "," 1,464 ", 842 , 622 
강원도,삼척시," 64,464 "," 33,293 "," 31,171 "," 63,588 "," 32,793 "," 30,795 ", 876 , 500 , 376 
강원도,홍천군," 65,658 "," 33,711 "," 31,947 "," 64,482 "," 33,098 "," 31,384 "," 1,176 ", 613 , 563 
강원도,횡성군," 44,712 "," 22,791 "," 21,921 "," 43,717 "," 22,271 "," 21,446 ", 995 , 520 , 475 
강원도,영월군," 35,728 "," 18,415 "," 17,313 "," 35,339 "," 18,273 "," 17,066 ", 389 , 142 , 247 
강원도,평창군," 38,613 "," 19,781 "," 18,832 "," 37,931 "," 19,481 "," 18,450 ", 682 , 300 , 382 
강원도,정선군," 33,786 "," 17,544 "," 16,242 "," 33,397 "," 17,437 "," 15,960 ", 389 , 107 , 282 
강원도,철원군," 41,855 "," 21,769 "," 20,086 "," 40,913 "," 21,228 "," 19,685 ", 942 , 541 , 401 
강원도,화천군," 23,092 "," 12,520 "," 10,572 "," 22,758 "," 12,371 "," 10,387 ", 334 , 149 , 185 
강원도,양구군," 21,121 "," 11,111 "," 10,010 "," 20,710 "," 10,902 "," 9,808 ", 411 , 209 , 202 
강원도,인제군," 30,670 "," 16,598 "," 14,072 "," 30,183 "," 16,366 "," 13,817 ", 487 , 232 , 255 
강원도,고성군," 26,650 "," 13,975 "," 12,675 "," 25,110 "," 12,876 "," 12,234 "," 1,540 "," 1,099 ", 441 
강원도,양양군," 26,632 "," 13,559 "," 13,073 "," 26,228 "," 13,350 "," 12,878 ", 404 , 209 , 195 
충청북도,충청북도," 1,624,764 "," 828,073 "," 796,691 "," 1,568,133 "," 794,362 "," 773,771 "," 56,631 "," 33,711 "," 22,920 "
충청북도,충주시," 215,349 "," 109,926 "," 105,423 "," 208,450 "," 105,756 "," 102,694 "," 6,899 "," 4,170 "," 2,729 "
충청북도,제천시," 133,750 "," 67,024 "," 66,726 "," 131,640 "," 66,027 "," 65,613 "," 2,110 ", 997 ," 1,113 "
충청북도,청주시," 856,923 "," 431,607 "," 425,316 "," 837,034 "," 421,236 "," 415,798 "," 19,889 "," 10,371 "," 9,518 "
충청북도,청주시상당구," 189,611 "," 94,232 "," 95,379 "," 188,000 "," 93,566 "," 94,434 "," 1,611 ", 666 , 945 
충청북도,청주시서원구," 195,526 "," 96,900 "," 98,626 "," 190,947 "," 94,637 "," 96,310 "," 4,579 "," 2,263 "," 2,316 "
충청북도,청주시흥덕구," 273,483 "," 138,633 "," 134,850 "," 265,367 "," 134,316 "," 131,051 "," 8,116 "," 4,317 "," 3,799 "
충청북도,청주시청원구," 198,303 "," 101,842 "," 96,461 "," 192,720 "," 98,717 "," 94,003 "," 5,583 "," 3,125 "," 2,458 "
충청북도,보은군," 30,929 "," 15,543 "," 15,386 "," 30,214 "," 15,192 "," 15,022 ", 715 , 351 , 364 
충청북도,옥천군," 48,507 "," 24,362 "," 24,145 "," 47,569 "," 23,822 "," 23,747 ", 938 , 540 , 398 
충청북도,영동군," 45,546 "," 22,784 "," 22,762 "," 44,511 "," 22,201 "," 22,310 "," 1,035 ", 583 , 452 
충청북도,진천군," 91,779 "," 49,328 "," 42,451 "," 82,421 "," 43,193 "," 39,228 "," 9,358 "," 6,135 "," 3,223 "
충청북도,괴산군," 37,526 "," 19,435 "," 18,091 "," 36,264 "," 18,666 "," 17,598 "," 1,262 ", 769 , 493 
충청북도,음성군," 100,866 "," 55,530 "," 45,336 "," 87,944 "," 46,472 "," 41,472 "," 12,922 "," 9,058 "," 3,864 "
충청북도,단양군," 26,937 "," 13,584 "," 13,353 "," 26,675 "," 13,492 "," 13,183 ", 262 , 92 , 170 
충청북도,증평군," 36,652 "," 18,950 "," 17,702 "," 35,411 "," 18,305 "," 17,106 "," 1,241 ", 645 , 596 
충청남도,충청남도," 2,175,960 "," 1,116,818 "," 1,059,142 "," 2,077,348 "," 1,059,208 "," 1,018,140 "," 98,612 "," 57,610 "," 41,002 "
충청남도,천안시," 683,888 "," 349,740 "," 334,148 "," 655,410 "," 333,702 "," 321,708 "," 28,478 "," 16,038 "," 12,440 "
충청남도,천안시동남구," 270,836 "," 137,117 "," 133,719 "," 258,423 "," 130,010 "," 128,413 "," 12,413 "," 7,107 "," 5,306 "
충청남도,천안시서북구," 413,052 "," 212,623 "," 200,429 "," 396,987 "," 203,692 "," 193,295 "," 16,065 "," 8,931 "," 7,134 "
충청남도,공주시," 106,915 "," 52,782 "," 54,133 "," 104,211 "," 51,409 "," 52,802 "," 2,704 "," 1,373 "," 1,331 "
충청남도,보령시," 97,390 "," 50,364 "," 47,026 "," 93,413 "," 47,415 "," 45,998 "," 3,977 "," 2,949 "," 1,028 "
충청남도,아산시," 348,727 "," 182,939 "," 165,788 "," 320,384 "," 166,242 "," 154,142 "," 28,343 "," 16,697 "," 11,646 "
충청남도,서산시," 177,497 "," 92,741 "," 84,756 "," 171,473 "," 89,453 "," 82,020 "," 6,024 "," 3,288 "," 2,736 "
충청남도,논산시," 117,262 "," 58,442 "," 58,820 "," 111,868 "," 55,794 "," 56,074 "," 5,394 "," 2,648 "," 2,746 "
충청남도,계룡시," 41,415 "," 20,614 "," 20,801 "," 41,153 "," 20,500 "," 20,653 ", 262 , 114 , 148 
충청남도,당진시," 169,507 "," 91,060 "," 78,447 "," 161,479 "," 85,940 "," 75,539 "," 8,028 "," 5,120 "," 2,908 "
충청남도,금산군," 52,436 "," 26,146 "," 26,290 "," 49,653 "," 24,813 "," 24,840 "," 2,783 "," 1,333 "," 1,450 "
충청남도,부여군," 62,415 "," 30,882 "," 31,533 "," 60,788 "," 30,065 "," 30,723 "," 1,627 ", 817 , 810 
충청남도,서천군," 50,012 "," 24,936 "," 25,076 "," 48,258 "," 23,650 "," 24,608 "," 1,754 "," 1,286 ", 468 
충청남도,청양군," 30,103 "," 15,322 "," 14,781 "," 29,221 "," 14,886 "," 14,335 ", 882 , 436 , 446 
충청남도,홍성군," 101,618 "," 50,955 "," 50,663 "," 98,266 "," 48,803 "," 49,463 "," 3,352 "," 2,152 "," 1,200 "
충청남도,예산군," 76,490 "," 38,853 "," 37,637 "," 73,448 "," 36,855 "," 36,593 "," 3,042 "," 1,998 "," 1,044 "
충청남도,태안군," 60,285 "," 31,042 "," 29,243 "," 58,323 "," 29,681 "," 28,642 "," 1,962 "," 1,361 ", 601 
전라북도,전라북도," 1,787,053 "," 891,295 "," 895,758 "," 1,746,006 "," 869,614 "," 876,392 "," 41,047 "," 21,681 "," 19,366 "
전라북도,전주시," 670,411 "," 331,251 "," 339,160 "," 658,902 "," 325,887 "," 333,015 "," 11,509 "," 5,364 "," 6,145 "
전라북도,전주시완산구," 342,394 "," 167,393 "," 175,001 "," 336,897 "," 164,807 "," 172,090 "," 5,497 "," 2,586 "," 2,911 "
전라북도,전주시덕진구," 328,017 "," 163,858 "," 164,159 "," 322,005 "," 161,080 "," 160,925 "," 6,012 "," 2,778 "," 3,234 "
전라북도,군산시," 267,635 "," 136,413 "," 131,222 "," 259,861 "," 131,613 "," 128,248 "," 7,774 "," 4,800 "," 2,974 "
전라북도,익산시," 280,150 "," 140,166 "," 139,984 "," 273,945 "," 137,098 "," 136,847 "," 6,205 "," 3,068 "," 3,137 "
전라북도,정읍시," 104,463 "," 51,984 "," 52,479 "," 100,988 "," 49,939 "," 51,049 "," 3,475 "," 2,045 "," 1,430 "
